Comparison,A,B,n_pairs,mean_A,mean_B,mean_diff,Cohen_d,p_t,p_wilcoxon,p_bonf,sig
3B vs 7B (Qwen2.5),llama32_3b,qwen25_7b,36,0.16666666666666666,0.3833333333333333,-0.21666666666666665,-0.4820770061141501,0.0065323286783301165,0.011737180325237937,0.039193972069980695,✓
7B vs 14B (Qwen2.5) — threshold claim,qwen25_7b,qwen25_14b,36,0.3833333333333333,0.6944444444444444,-0.3111111111111111,-0.6919413290904121,0.0002008775062478847,0.0008844690024645954,0.0012052650374873082,✓
7B Qwen2.5 vs 7B DeepSeek-R1 — reasoning premium,qwen25_7b,deepseek_r1_7b,36,0.3833333333333333,0.39444444444444443,-0.011111111111111127,-0.028619194903983007,0.864650463223183,0.8614304630056555,1.0,✗
14B vs 22B (Mistral) — plateau,qwen25_14b,mistral22b,36,0.6944444444444444,0.7,-0.005555555555555536,-0.01303379538584579,0.9381121452484642,0.9719623102281248,1.0,✗
14B vs 30B (Qwen3-Coder) — plateau,qwen25_14b,qwen_coder30b,36,0.6944444444444444,0.7,-0.005555555555555536,-0.01214895546556324,0.9423056692564022,1.0,1.0,✗
14B vs 120B (GPT-OSS) — diminishing returns,qwen25_14b,gpt120b,36,0.6944444444444444,0.6222222222222222,0.07222222222222219,0.1366810171937588,0.41771723441816044,0.2981937118863297,1.0,✗
