system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
mas,M10,0,medium,200,steady,139.716,0.0,0.872,0,1,0.2,
mas,M10,1,medium,200,steady,140.757,0.0,0.872,0,1,0.2,
mas,M10,2,medium,200,steady,140.206,0.0,0.872,0,1,0.2,
mas,M10,3,medium,200,steady,139.707,0.0,0.872,0,1,0.2,
mas,M10,4,medium,200,steady,140.08,0.0,0.872,0,1,0.2,
mas,N02,0,medium,50,steady,136.553,0.0,0.8856,0,1,0.2,
mas,N02,1,medium,50,steady,135.937,0.0,0.8856,0,1,0.2,
mas,N02,2,medium,50,steady,136.333,0.0,0.8856,0,1,0.2,
mas,N02,3,medium,50,steady,135.713,0.0,0.8856,0,1,0.2,
mas,N02,4,medium,50,steady,135.105,0.0,0.8856,0,1,0.2,
mas,N03,0,medium,200,bursty-headroom,137.69,0.0,0.9129,0,1,0.2,
mas,N03,1,medium,200,bursty-headroom,138.009,0.0,0.9129,0,1,0.2,
mas,N03,2,medium,200,bursty-headroom,137.967,0.0,0.9129,0,1,0.2,
mas,N03,3,medium,200,bursty-headroom,138.261,0.0,0.9129,0,1,0.2,
mas,N03,4,medium,200,bursty-headroom,138.401,0.0,0.9129,0,1,0.2,
mas,N04,0,medium,500,sinusoidal-autoscale,141.445,0.0,0.7761,0,1,0.2,
mas,N04,1,medium,500,sinusoidal-autoscale,139.352,0.0,0.7761,0,1,0.2,
mas,N04,2,medium,500,sinusoidal-autoscale,137.464,0.0,0.7761,0,1,0.2,
mas,N04,3,medium,500,sinusoidal-autoscale,137.792,0.0,0.7761,0,1,0.2,
mas,N04,4,medium,500,sinusoidal-autoscale,139.769,0.0,0.7761,0,1,0.2,
mas,N05,0,medium,200,sinusoidal-autoscale,137.921,0.0,0.9399,0,1,0.2,
mas,N05,1,medium,200,sinusoidal-autoscale,137.568,0.0,0.9399,0,1,0.2,
mas,N05,2,medium,200,sinusoidal-autoscale,137.594,0.0,0.9399,0,1,0.2,
mas,N05,3,medium,200,sinusoidal-autoscale,137.325,0.0,0.9399,0,1,0.2,
mas,N05,4,medium,200,sinusoidal-autoscale,138.325,0.0,0.9399,0,1,0.2,
mas,N06,0,medium,50,fault-HA,139.44,0.0,0.7114,0,1,0.2,
mas,N06,1,medium,50,fault-HA,140.26,0.0,0.7114,0,1,0.2,
mas,N06,2,medium,50,fault-HA,140.227,0.0,0.7114,0,1,0.2,
mas,N06,3,medium,50,fault-HA,139.213,0.0,0.7114,0,1,0.2,
mas,N06,4,medium,50,fault-HA,140.811,0.0,0.7114,0,1,0.2,
mas,N07,0,medium,500,bursty-headroom,140.525,0.0,0.8036,0,1,0.2,
mas,N07,1,medium,500,bursty-headroom,139.486,0.0,0.8036,0,1,0.2,
mas,N07,2,medium,500,bursty-headroom,139.391,0.0,0.8036,0,1,0.2,
mas,N07,3,medium,500,bursty-headroom,138.779,0.0,0.8036,0,1,0.2,
mas,N07,4,medium,500,bursty-headroom,140.063,0.0,0.8036,0,1,0.2,
mas,N08,0,medium,200,fault-HA,138.146,0.0,0.6075,0,1,0.2,
mas,N08,1,medium,200,fault-HA,136.479,0.0,0.6075,0,1,0.2,
mas,N08,2,medium,200,fault-HA,138.779,0.0,0.6075,0,1,0.2,
mas,N08,3,medium,200,fault-HA,136.187,0.0,0.6075,0,1,0.2,
mas,N08,4,medium,200,fault-HA,136.184,0.0,0.6075,0,1,0.2,
mas,C01,0,complex,500,fault-HA,141.667,0.0,0.5372,0,1,0.2,
mas,C01,1,complex,500,fault-HA,141.489,0.0,0.5372,0,1,0.2,
mas,C01,2,complex,500,fault-HA,141.574,0.0,0.5372,0,1,0.2,
mas,C01,3,complex,500,fault-HA,141.387,0.0,0.5372,0,1,0.2,
mas,C01,4,complex,500,fault-HA,141.227,0.0,0.5372,0,1,0.2,
mas,C02,0,complex,500,steady,140.898,0.0,0.4533,0,1,0.2,
mas,C02,1,complex,500,steady,140.195,0.0,0.4533,0,1,0.2,
mas,C02,2,complex,500,steady,139.739,0.0,0.4533,0,1,0.2,
mas,C02,3,complex,500,steady,142.043,0.0,0.4533,0,1,0.2,
mas,C02,4,complex,500,steady,141.709,0.0,0.4533,0,1,0.2,
mas,C03,0,complex,200,fault-HA,142.771,0.0,0.5977,0,1,0.2,
mas,C03,1,complex,200,fault-HA,144.012,0.0,0.5977,0,1,0.2,
mas,C03,2,complex,200,fault-HA,143.719,0.0,0.5977,0,1,0.2,
mas,C03,3,complex,200,fault-HA,140.647,0.0,0.5977,0,1,0.2,
mas,C03,4,complex,200,fault-HA,143.653,0.0,0.5977,0,1,0.2,
mas,C04,0,complex,200,steady,143.186,0.0,0.9447,0,1,0.2,
mas,C04,1,complex,200,steady,141.677,0.0,0.9447,0,1,0.2,
mas,C04,2,complex,200,steady,141.6,0.0,0.9447,0,1,0.2,
mas,C04,3,complex,200,steady,140.616,0.0,0.9447,0,1,0.2,
mas,C04,4,complex,200,steady,142.423,0.0,0.9447,0,1,0.2,
mas,C05,0,complex,500,bursty-headroom,141.195,0.0,0.3671,0,1,0.2,
mas,C05,1,complex,500,bursty-headroom,142.187,0.0,0.3671,0,1,0.2,
mas,C05,2,complex,500,bursty-headroom,141.519,0.0,0.3671,0,1,0.2,
mas,C05,3,complex,500,bursty-headroom,140.702,0.0,0.3597,0,1,0.2,
mas,C05,4,complex,500,bursty-headroom,140.402,0.0,0.3671,0,1,0.2,
mas,C06,0,complex,500,steady,142.648,0.0,0.6427,0,1,0.2,
mas,C06,1,complex,500,steady,141.797,0.0,0.6427,0,1,0.2,
mas,C06,2,complex,500,steady,141.141,0.0,0.6427,0,1,0.2,
mas,C06,3,complex,500,steady,141.027,0.0,0.6427,0,1,0.2,
mas,C06,4,complex,500,steady,141.29,0.0,0.6427,0,1,0.2,
mas,C07,0,complex,200,fault-HA,143.213,0.0,0.6286,0,1,0.2,
mas,C07,1,complex,200,fault-HA,143.657,0.0,0.6286,0,1,0.2,
mas,C07,2,complex,200,fault-HA,143.519,0.0,0.6286,0,1,0.2,
mas,C07,3,complex,200,fault-HA,141.84,0.0,0.6286,0,1,0.2,
mas,C07,4,complex,200,fault-HA,142.905,0.0,0.6286,0,1,0.2,
mas,C08,0,complex,500,steady,140.877,0.0,0.7261,0,1,0.2,
mas,C08,1,complex,500,steady,140.657,0.0,0.7261,0,1,0.2,
mas,C08,2,complex,500,steady,141.413,0.0,0.7261,0,1,0.2,
mas,C08,3,complex,500,steady,141.07,0.0,0.7261,0,1,0.2,
mas,C08,4,complex,500,steady,141.193,0.0,0.7261,0,1,0.2,
mas,C09,0,complex,50,steady,135.832,0.0,0.8452,0,0,0.2,
mas,C09,1,complex,50,steady,135.855,0.0,0.8452,0,0,0.2,
mas,C09,2,complex,50,steady,135.208,0.0,0.8452,0,0,0.2,
mas,C09,3,complex,50,steady,135.712,0.0,0.8452,0,0,0.2,
mas,C09,4,complex,50,steady,139.396,0.0,0.8452,0,0,0.2,
mas,N09,0,complex,200,bursty-headroom,142.552,0.0,0.8875,0,1,0.2,
mas,N09,1,complex,200,bursty-headroom,141.0,0.0,0.8875,0,1,0.2,
mas,N09,2,complex,200,bursty-headroom,141.285,0.0,0.8875,0,1,0.2,
