system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
mas,S06,3,simple,50,steady,127.381,0.0,0.0,1,0,0.2,
mas,S06,4,simple,50,steady,127.668,0.0,0.0,1,0,0.2,
mas,N01,0,simple,500,steady,138.807,0.0,0.8041,0,1,0.2,
mas,N01,1,simple,500,steady,142.126,0.2,0.8041,0,0,0.2,
mas,N01,2,simple,500,steady,142.589,0.2,0.8041,0,0,0.2,
mas,N01,3,simple,500,steady,142.762,0.2,0.8041,0,0,0.2,
mas,N01,4,simple,500,steady,139.217,0.0,0.8041,0,1,0.2,
mas,M01,0,medium,500,steady,139.047,0.0,0.9927,0,1,0.2,
mas,M01,1,medium,500,steady,142.852,0.2,0.9927,0,1,0.2,
mas,M01,2,medium,500,steady,140.0,0.0,0.9927,0,1,0.2,
mas,M01,3,medium,500,steady,140.383,0.0,0.9927,0,1,0.2,
mas,M01,4,medium,500,steady,139.897,0.0,0.9927,0,1,0.2,
mas,M02,0,medium,200,steady,144.469,0.2,0.9686,0,1,0.2,
mas,M02,1,medium,200,steady,143.989,0.2,0.9686,0,1,0.2,
mas,M02,2,medium,200,steady,143.84,0.2,0.9686,0,1,0.2,
mas,M02,3,medium,200,steady,142.629,0.2,0.9686,0,1,0.2,
mas,M02,4,medium,200,steady,167.725,0.2,0.9686,0,1,0.2,
mas,M03,0,medium,500,fault-HA,140.915,0.0,0.7038,0,1,0.2,
mas,M03,1,medium,500,fault-HA,140.8,0.0,0.7038,0,1,0.2,
mas,M03,2,medium,500,fault-HA,140.428,0.0,0.7038,0,1,0.2,
mas,M03,3,medium,500,fault-HA,141.135,0.0,0.7038,0,1,0.2,
mas,M03,4,medium,500,fault-HA,139.606,0.0,0.7038,0,1,0.2,
mas,M04,0,medium,500,steady,142.63,0.2,0.5769,0,1,0.2,
mas,M04,1,medium,500,steady,143.71,0.2,0.5769,0,1,0.2,
