scenario,system,metric,n,mean,sd
sinusoidal-autoscale,b3,resource_accuracy,20,0.09090000000000001,0.0932616861592324
sinusoidal-autoscale,b3,interventions,20,0.5,0.512989176042577
sinusoidal-autoscale,b3,intent_to_deploy_accuracy,20,0.0,0.0
sinusoidal-autoscale,b3,policy_violation_rate,20,0.0,0.0
sinusoidal-autoscale,b4,deployment_time_s,20,31.271149999999995,2.84834354955925
sinusoidal-autoscale,b4,config_error_rate,20,0.825,0.35909242322980395
sinusoidal-autoscale,b4,resource_accuracy,20,0.49102500000000004,0.26797760683153715
sinusoidal-autoscale,b4,interventions,20,1.0,0.0
sinusoidal-autoscale,b4,intent_to_deploy_accuracy,20,0.0,0.0
sinusoidal-autoscale,b4,policy_violation_rate,20,0.0,0.0
steady,mas,deployment_time_s,100,178.3393,143.65326886023973
steady,mas,config_error_rate,100,0.13244299999999995,0.08798225860531729
steady,mas,resource_accuracy,100,0.7420049999999998,0.30703661196322923
steady,mas,interventions,100,0.11,0.3144660377352202
steady,mas,intent_to_deploy_accuracy,100,0.61,0.49020713000019717
steady,mas,policy_violation_rate,100,0.19999999999999996,5.579080615598709e-17
steady,b1,deployment_time_s,100,980.2654999999999,181.68856557126384
steady,b1,config_error_rate,100,0.0,0.0
steady,b1,resource_accuracy,100,0.050565,0.09806537849616427
steady,b1,interventions,100,9.07,1.5456357588351461
steady,b1,intent_to_deploy_accuracy,100,0.0,0.0
steady,b1,policy_violation_rate,100,0.14,0.13780384243517665
steady,b2,deployment_time_s,100,3941.7188,216.8720835348046
steady,b2,config_error_rate,100,0.0,0.0
steady,b2,resource_accuracy,100,0.174705,0.23897451044287993
steady,b2,interventions,100,17.19,2.087456525888563
steady,b2,intent_to_deploy_accuracy,100,0.0,0.0
steady,b2,policy_violation_rate,100,0.014000000000000002,0.05128647999524855
steady,b3,deployment_time_s,100,0.0,0.0
steady,b3,config_error_rate,100,0.0,0.0
steady,b3,resource_accuracy,100,0.35999999999999993,0.3208960985437593
steady,b3,interventions,100,0.35,0.47937248544110217
steady,b3,intent_to_deploy_accuracy,100,0.0,0.0
steady,b3,policy_violation_rate,100,0.0,0.0
steady,b4,deployment_time_s,100,29.430710000000005,5.263260636830759
steady,b4,config_error_rate,100,0.87625,0.3084945319817294
steady,b4,resource_accuracy,100,0.48193400000000003,0.21530259712152272
steady,b4,interventions,100,0.05,0.21904291355759029
steady,b4,intent_to_deploy_accuracy,100,0.0,0.0
steady,b4,policy_violation_rate,100,0.0,0.0
