metric,metric_label,metric_dir,baseline,n_pairs,mean_a,mean_b,mean_diff,cohen_d,t_stat,p_t,u_stat,p_u,p_bonf
deployment_time_s,Deployment time (s),lower,b1,36,162.76110000000003,1036.9808333333333,-874.2197333333332,-4.6834550405274085,-28.10073024316445,1.3248452078608428e-25,0.0,3.0463409828898996e-13,3.179628498866023e-24
deployment_time_s,Deployment time (s),lower,b2,36,162.76110000000003,3943.438944444444,-3780.677844444444,-24.607460963760957,-147.64476578256574,1.6349326115584937e-50,0.0,3.0463409828898996e-13,3.923838267740385e-49
deployment_time_s,Deployment time (s),lower,b3,36,162.76110000000003,0.0,162.76110000000003,1.6018514870099234,9.611108922059541,2.3688475558876134e-11,1296.0,6.414930618845411e-15,5.685234134130272e-10
deployment_time_s,Deployment time (s),lower,b4,36,162.76110000000003,30.00841666666667,132.75268333333335,1.3115640906508466,7.869384543905081,2.9927209075426653e-09,1296.0,3.0463409828898996e-13,7.182530178102396e-08
config_error_rate,Config error rate,lower,b1,36,0.15049222222222225,0.0,0.15049222222222225,2.063269723074491,12.379618338446946,2.4096622361920635e-14,1206.0,1.64179546585777e-12,5.783189366860953e-13
config_error_rate,Config error rate,lower,b2,36,0.15049222222222225,0.0,0.15049222222222225,2.063269723074491,12.379618338446946,2.4096622361920635e-14,1206.0,1.64179546585777e-12,5.783189366860953e-13
config_error_rate,Config error rate,lower,b3,36,0.15049222222222225,0.0,0.15049222222222225,2.063269723074491,12.379618338446946,2.4096622361920635e-14,1206.0,1.64179546585777e-12,5.783189366860953e-13
config_error_rate,Config error rate,lower,b4,36,0.15049222222222225,0.8685955555555556,-0.7181033333333333,-6.286237799358629,-37.71742679615178,6.1558911738143226e-30,0.0,8.666097492244543e-14,1.4774138817154374e-28
resource_accuracy,Resource accuracy,higher,b1,36,0.7257072222222222,0.11429722222222222,0.61141,1.7301759368345055,10.381055621007032,3.1577614735329327e-12,1237.0,1.4374206778381985e-11,7.578627536479038e-11
resource_accuracy,Resource accuracy,higher,b2,36,0.7257072222222222,0.2489972222222222,0.47670999999999997,1.0598706193755272,6.359223716253163,2.604579115948117e-07,1162.0,5.820593873230179e-09,6.250989878275481e-06
resource_accuracy,Resource accuracy,higher,b3,36,0.7257072222222222,0.3523333333333334,0.3733738888888888,0.8856473184918662,5.313883910951197,6.2013055644372855e-06,1067.0,2.3789408027410926e-06,0.00014883133354649485
resource_accuracy,Resource accuracy,higher,b4,36,0.7257072222222222,0.4991466666666666,0.22656055555555554,0.7768796169152713,4.661277701491627,4.443498374848448e-05,1055.0,4.688418571332229e-06,0.0010664396099636275
interventions,Human interventions,lower,b1,36,0.16111111111111112,9.277777777777779,-9.116666666666667,-8.457324841172564,-50.743949047035386,2.2893326541234363e-34,0.0,4.4867248561525044e-14,5.494398369896247e-33
interventions,Human interventions,lower,b2,36,0.16111111111111112,17.41666666666667,-17.25555555555556,-18.79895740810068,-112.79374444860409,1.984742810950128e-46,0.0,4.415681122847026e-14,4.7633827462803066e-45
interventions,Human interventions,lower,b3,36,0.16111111111111112,0.4444444444444444,-0.2833333333333333,-0.5170473720925796,-3.102284232555477,0.0037846864403927464,470.0,0.013875542266204226,0.09083247456942592
interventions,Human interventions,lower,b4,36,0.16111111111111112,0.1388888888888889,0.022222222222222227,0.05203979145586023,0.3122387487351614,0.7567117774169482,679.0,0.5955167067955721,1.0
intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,b1,36,0.6833333333333333,0.0,0.6833333333333333,1.5118670694680918,9.071202416808552,1.019145389512471e-10,1116.0,3.7770907682655215e-10,2.4459489348299306e-09
intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,b2,36,0.6833333333333333,0.0,0.6833333333333333,1.5118670694680918,9.071202416808552,1.019145389512471e-10,1116.0,3.7770907682655215e-10,2.4459489348299306e-09
intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,b3,36,0.6833333333333333,0.0,0.6833333333333333,1.5118670694680918,9.071202416808552,1.019145389512471e-10,1116.0,3.7770907682655215e-10,2.4459489348299306e-09
intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,b4,36,0.6833333333333333,0.0,0.6833333333333333,1.5118670694680918,9.071202416808552,1.019145389512471e-10,1116.0,3.7770907682655215e-10,2.4459489348299306e-09
policy_violation_rate,Policy violation rate,lower,b1,36,0.20000000000000004,0.13111111111111112,0.06888888888888892,1.3469170519256446,8.081502311553868,1.627466556748604e-09,1152.0,1.9562900180475995e-10,3.90591973619665e-08
policy_violation_rate,Policy violation rate,lower,b2,36,0.20000000000000004,0.013333333333333332,0.1866666666666667,8.73053390247253,52.38320341483517,7.630415554530014e-35,1296.0,1.2300683090320866e-15,1.8312997330872032e-33
policy_violation_rate,Policy violation rate,lower,b3,36,0.20000000000000004,0.0,0.20000000000000004,10.0,4.2629847530658504e+16,0.0,1296.0,3.776167805354686e-17,0.0
policy_violation_rate,Policy violation rate,lower,b4,36,0.20000000000000004,0.0,0.20000000000000004,10.0,4.2629847530658504e+16,0.0,1296.0,3.776167805354686e-17,0.0
