metric,metric_label,metric_dir,baseline,n_pairs,mean_a,mean_b,mean_diff,cohen_d,t_stat,p_t,u_stat,p_u,p_bonf
deployment_time_s,Deployment time (s),lower,b1,36,139.16076111111113,1036.9808333333333,-897.8200722222222,-4.983353489564394,-29.90012093738636,1.6423273276496735e-26,0.0,3.0463409828898996e-13,3.9415855863592163e-25
deployment_time_s,Deployment time (s),lower,b2,36,139.16076111111113,3943.438944444444,-3804.278183333333,-32.86748955617468,-197.2049373370481,6.595087578198156e-55,0.0,3.0463409828898996e-13,1.5828210187675573e-53
deployment_time_s,Deployment time (s),lower,b3,36,139.16076111111113,0.0,139.16076111111113,63.73045949900033,382.382756994002,5.738319863684618e-65,1296.0,6.414930618845411e-15,1.3771967672843082e-63
deployment_time_s,Deployment time (s),lower,b4,36,139.16076111111113,30.00841666666667,109.15234444444445,27.46910460129476,164.81462760776856,3.496406591980375e-52,1296.0,3.0463409828898996e-13,8.3913758207529e-51
config_error_rate,Config error rate,lower,b1,36,0.0,0.0,0.0,0.0,nan,nan,648.0,1.0,nan
config_error_rate,Config error rate,lower,b2,36,0.0,0.0,0.0,0.0,nan,nan,648.0,1.0,nan
config_error_rate,Config error rate,lower,b3,36,0.0,0.0,0.0,0.0,nan,nan,648.0,1.0,nan
config_error_rate,Config error rate,lower,b4,36,0.0,0.8685955555555556,-0.8685955555555556,-7.633139059177515,-45.79883435506509,7.865318980832238e-33,0.0,3.2178188604287574e-15,1.887676555399737e-31
resource_accuracy,Resource accuracy,higher,b1,36,0.7663822222222223,0.11429722222222222,0.652085,2.010768621669533,12.064611730017196,5.02742090111742e-14,1283.0,4.1619776918792913e-13,1.2065810162681808e-12
resource_accuracy,Resource accuracy,higher,b2,36,0.7663822222222223,0.2489972222222222,0.5173850000000001,1.232962994370638,7.3977779662238285,1.1802317409856185e-08,1213.0,1.6934351739339184e-10,2.832556178365484e-07
resource_accuracy,Resource accuracy,higher,b3,36,0.7663822222222223,0.3523333333333334,0.4140488888888889,1.0922846096770251,6.553707658062152,1.4501682469836848e-07,1125.0,7.897263211443758e-08,3.4804037927608435e-06
resource_accuracy,Resource accuracy,higher,b4,36,0.7663822222222223,0.4991466666666666,0.26723555555555567,1.1363067075151576,6.817840245090946,6.573009423389583e-08,1118.0,1.2375730049049716e-07,1.5775222616135e-06
interventions,Human interventions,lower,b1,36,0.0,9.277777777777779,-9.277777777777779,-9.074922951129292,-54.44953770677574,2.0017558713375907e-35,0.0,6.299483162715514e-15,4.8042140912102176e-34
interventions,Human interventions,lower,b2,36,0.0,17.41666666666667,-17.41666666666667,-21.489661597046055,-128.93796958227634,1.858294959163851e-48,0.0,6.18598212594543e-15,4.459907901993242e-47
interventions,Human interventions,lower,b3,36,0.0,0.4444444444444444,-0.4444444444444444,-0.8819171036881965,-5.29150262212918,6.637021703662716e-06,360.0,6.91958675721792e-06,0.00015928852088790518
interventions,Human interventions,lower,b4,36,0.0,0.1388888888888889,-0.1388888888888889,-0.39599246942624283,-2.3759548165574573,0.02310867578348759,558.0,0.022075828321992858,0.5546082188037021
intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,b1,36,0.8888888888888888,0.0,0.8888888888888888,2.788866755113585,16.733200530681508,2.829312721858664e-18,1224.0,5.072660551996997e-14,6.790350532460794e-17
intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,b2,36,0.8888888888888888,0.0,0.8888888888888888,2.788866755113585,16.733200530681508,2.829312721858664e-18,1224.0,5.072660551996997e-14,6.790350532460794e-17
intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,b3,36,0.8888888888888888,0.0,0.8888888888888888,2.788866755113585,16.733200530681508,2.829312721858664e-18,1224.0,5.072660551996997e-14,6.790350532460794e-17
intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,b4,36,0.8888888888888888,0.0,0.8888888888888888,2.788866755113585,16.733200530681508,2.829312721858664e-18,1224.0,5.072660551996997e-14,6.790350532460794e-17
policy_violation_rate,Policy violation rate,lower,b1,36,0.20000000000000004,0.13111111111111112,0.06888888888888892,1.3469170519256446,8.081502311553868,1.627466556748604e-09,1152.0,1.9562900180475995e-10,3.90591973619665e-08
policy_violation_rate,Policy violation rate,lower,b2,36,0.20000000000000004,0.013333333333333332,0.1866666666666667,8.73053390247253,52.38320341483517,7.630415554530014e-35,1296.0,1.2300683090320866e-15,1.8312997330872032e-33
policy_violation_rate,Policy violation rate,lower,b3,36,0.20000000000000004,0.0,0.20000000000000004,10.0,4.2629847530658504e+16,0.0,1296.0,3.776167805354686e-17,0.0
policy_violation_rate,Policy violation rate,lower,b4,36,0.20000000000000004,0.0,0.20000000000000004,10.0,4.2629847530658504e+16,0.0,1296.0,3.776167805354686e-17,0.0
