vnf,n_measurements,cpu_rel_err_mean,cpu_rel_err_ci_lo,cpu_rel_err_ci_hi,mem_rel_err_mean,mem_rel_err_ci_lo,mem_rel_err_ci_hi,vnf_accuracy
amf,180,0.3331388888888889,0.2931158333333334,0.37437805555555553,0.20102777777777778,0.16897180555555555,0.23523527777777778,0.7329166666666667
ausf,180,0.27108333333333334,0.23338180555555554,0.3105725,0.21988888888888888,0.18602180555555553,0.25565763888888887,0.7545138888888889
nrf,180,0.11280555555555553,0.10086111111111108,0.12594444444444441,0.09052777777777776,0.07580555555555556,0.1067222222222222,0.8983333333333333
nssf,82,0.08334146341463415,0.0538048780487805,0.11481920731707314,0.08574390243902437,0.056548475609756094,0.11779298780487805,0.9154573170731708
smf,180,0.36724999999999997,0.32768875000000003,0.40717305555555555,0.2251666666666667,0.1923665277777778,0.2594394444444445,0.7037916666666666
udm,180,0.27108333333333334,0.23338180555555554,0.3105725,0.21988888888888888,0.18602180555555553,0.25565763888888887,0.7545138888888889
udr,180,0.18958333333333333,0.15436541666666667,0.22723430555555554,0.19041666666666665,0.15583291666666665,0.2273893055555556,0.81
upf,180,0.4231111111111111,0.38055527777777776,0.4659618055555555,0.319111111111111,0.2852552777777778,0.35355930555555554,0.6288888888888889
